StateFIPS,CountyFIPS,County Name,Uninsured Population Under 65,Total Population Under 65,uninsured_rate,Normalized_Uninsured,Resilience_Health
13,1,"Appling County, Georgia",178,18145,0.00980986497657757,0.1653342996737343,0.8346657003262656
13,3,"Atkinson County, Georgia",123,8251,0.014907283965579929,0.2512455941413494,0.7487544058586506
13,5,"Bacon County, Georgia",378,10485,0.036051502145922745,0.6076077370803692,0.3923922629196308
13,7,"Baker County, Georgia",16,2928,0.00546448087431694,0.09209771190458367,0.9079022880954163
13,9,"Baldwin County, Georgia",508,41657,0.012194829200374487,0.20553020355517002,0.79446979644483
13,11,"Banks County, Georgia",320,18048,0.01773049645390071,0.298827682243596,0.701172317756404
13,13,"Barrow County, Georgia",1689,81987,0.020600826960371767,0.34720389182982736,0.6527961081701726
13,15,"Bartow County, Georgia",2419,106770,0.0226561768286972,0.38184451449644463,0.6181554855035554
13,17,"Ben Hill County, Georgia",350,16928,0.020675803402646502,0.348467535886613,0.651532464113387
13,19,"Berrien County, Georgia",445,17941,0.02480352265759991,0.41803562616073636,0.5819643738392637
13,21,"Bibb County, Georgia",2231,153659,0.014519162561255768,0.24470424207121022,0.7552957579287898
13,23,"Bleckley County, Georgia",81,12197,0.0066409772894974175,0.11192624281066195,0.888073757189338
13,25,"Brantley County, Georgia",167,18015,0.009270052733832917,0.15623636822181414,0.8437636317781858
13,27,"Brooks County, Georgia",260,16134,0.016115036568736828,0.27160091312880197,0.728399086871198
13,29,"Bryan County, Georgia",693,41416,0.01673266370484837,0.2820103275552298,0.7179896724447702
13,31,"Bulloch County, Georgia",703,77375,0.00908562197092084,0.15312799403958366,0.8468720059604163
13,33,"Burke County, Georgia",513,24047,0.021333222439389527,0.35954759828213123,0.6404524017178688
13,35,"Butts County, Georgia",293,22379,0.013092631484874212,0.2206616566697293,0.7793383433302707
13,37,"Calhoun County, Georgia",72,3845,0.01872561768530559,0.3155993373354472,0.6844006626645528
13,39,"Camden County, Georgia",551,50342,0.01094513527472091,0.18446801049769349,0.8155319895023065
13,43,"Candler County, Georgia",95,10657,0.008914328610303087,0.15024103607593012,0.8497589639240699
13,45,"Carroll County, Georgia",1346,117319,0.011472992439417315,0.19336445248351283,0.8066355475164871
13,47,"Catoosa County, Georgia",1168,67137,0.017397262314372105,0.29321139361802484,0.7067886063819752
13,49,"Charlton County, Georgia",57,11408,0.004996493688639551,0.08421031143729947,0.9157896885627005
13,51,"Chatham County, Georgia",4822,286967,0.016803325817951194,0.2832012584203555,0.7167987415796445
13,53,"Chattahoochee County, Georgia",5,4977,0.0010046212577858146,0.016931767408618455,0.9830682325913815
13,55,"Chattooga County, Georgia",185,23208,0.007971389176146157,0.13434884679979664,0.8656511532002034
13,57,"Cherokee County, Georgia",4588,260986,0.017579487022292384,0.29628258721132966,0.7037174127886703
13,59,"Clarke County, Georgia",2504,127402,0.019654322538107723,0.3312516186673772,0.6687483813326228
13,61,"Clay County, Georgia",61,2838,0.02149400986610289,0.36225749048304,0.63774250951696
13,63,"Clayton County, Georgia",10241,290873,0.03520780546836592,0.5933881734417288,0.4066118265582712
13,65,"Clinch County, Georgia",167,6659,0.025078840666766782,0.4226758032010785,0.5773241967989216
13,67,"Cobb County, Georgia",16708,757479,0.022057377168211923,0.3717524161089964,0.6282475838910035
13,69,"Coffee County, Georgia",957,40422,0.023675226361882143,0.399019454345694,0.600980545654306
13,71,"Colquitt County, Georgia",1814,45421,0.03993747385570551,0.6731014429288084,0.32689855707119164
13,73,"Columbia County, Georgia",1256,150536,0.008343519158208003,0.14062068133765177,0.8593793186623482
13,75,"Cook County, Georgia",271,16906,0.0160298119011002,0.2701645466984513,0.7298354533015488
13,77,"Coweta County, Georgia",2041,144378,0.01413650279128399,0.2382549397380329,0.7617450602619671
13,79,"Crawford County, Georgia",125,12029,0.01039155374511597,0.17513801311973995,0.82486198688026
13,81,"Crisp County, Georgia",262,20152,0.013001190948789203,0.2191205287305066,0.7808794712694934
13,83,"Dade County, Georgia",231,16181,0.014276002719238613,0.24060605496214485,0.7593939450378552
13,85,"Dawson County, Georgia",435,25994,0.016734631068708164,0.2820434852721545,0.7179565147278455
13,87,"Decatur County, Georgia",464,27904,0.016628440366972478,0.2802537597922165,0.7197462402077834
13,89,"DeKalb County, Georgia",12199,753453,0.016190790931882946,0.272877668171598,0.727122331828402
13,91,"Dodge County, Georgia",170,18316,0.009281502511465386,0.15642934141469744,0.8435706585853026
13,93,"Dooly County, Georgia",370,9966,0.03712622917920931,0.6257210589062172,0.3742789410937828
13,95,"Dougherty County, Georgia",1303,85002,0.015329051081151032,0.2583540070343765,0.7416459929656235
13,97,"Douglas County, Georgia",2664,142112,0.0187457779779329,0.3159391165139285,0.6840608834860715
13,99,"Early County, Georgia",35,10701,0.003270722362396038,0.05512436639088482,0.9448756336091152
13,101,"Echols County, Georgia",219,3691,0.059333513952858304,1.0,0.0
13,103,"Effingham County, Georgia",698,62796,0.011115357666093381,0.1873369184728341,0.8126630815271659
13,105,"Elbert County, Georgia",229,19197,0.01192894723133823,0.20104906041492882,0.7989509395850711
13,107,"Emanuel County, Georgia",284,21956,0.012934960830752414,0.21800429418405096,0.781995705815949
13,109,"Evans County, Georgia",219,10297,0.02126833058172283,0.35845391861707293,0.641546081382927
13,111,"Fannin County, Georgia",515,25062,0.020549038384805682,0.34633105332565195,0.653668946674348
13,113,"Fayette County, Georgia",1778,117053,0.015189700392130061,0.2560054070655345,0.7439945929344656
13,115,"Floyd County, Georgia",1529,96160,0.015900582362728784,0.2679865274010591,0.7320134725989409
13,117,"Forsyth County, Georgia",4814,245113,0.01963992117921122,0.3310088998742859,0.668991100125714
13,119,"Franklin County, Georgia",570,23062,0.024715983002341513,0.41656024320384716,0.5834397567961529
13,121,"Fulton County, Georgia",13433,1044516,0.012860501897529573,0.21674937216338655,0.7832506278366135
13,123,"Gilmer County, Georgia",888,30837,0.028796575542367933,0.48533406541954355,0.5146659345804565
13,125,"Glascock County, Georgia",2,2839,0.0007044734061289186,0.01187311115078465,0.9881268888492154
13,127,"Glynn County, Georgia",1331,83348,0.015969189422661612,0.2691428226440366,0.7308571773559633
13,129,"Gordon County, Georgia",1246,56786,0.02194202796463917,0.3698083343264072,0.6301916656735929
13,131,"Grady County, Georgia",1063,25933,0.04099024409054101,0.6908447074803052,0.30915529251969476
13,133,"Greene County, Georgia",469,18313,0.02561022224649156,0.4316316452593624,0.5683683547406376
13,135,"Gwinnett County, Georgia",28826,943840,0.030541193422614004,0.5147376480496269,0.48526235195037315
13,137,"Habersham County, Georgia",1135,44137,0.025715386183927318,0.43340406577568824,0.5665959342243118
13,139,"Hall County, Georgia",5511,200776,0.0274484998206957,0.4626137572519992,0.5373862427480007
13,141,"Hancock County, Georgia",19,6397,0.002970142254181648,0.05005842493234914,0.9499415750676509
13,143,"Haralson County, Georgia",272,29419,0.009245725551514327,0.15582636077917525,0.8441736392208248
13,145,"Harris County, Georgia",115,33558,0.0034269026759640026,0.05775661085380426,0.9422433891461958
13,147,"Hart County, Georgia",503,25030,0.02009588493807431,0.33869365893348075,0.6613063410665192
13,149,"Heard County, Georgia",173,11316,0.01528808766348533,0.25766361445627556,0.7423363855437244
13,151,"Henry County, Georgia",4899,235192,0.020829790128915948,0.35106280988962907,0.6489371901103709
13,153,"Houston County, Georgia",2978,155622,0.01913611186079089,0.32251775743460814,0.6774822425653919
13,155,"Irwin County, Georgia",250,9369,0.026683744262994982,0.4497246578754086,0.5502753421245914
13,157,"Jackson County, Georgia",1299,73152,0.01775754593175853,0.29928357093205815,0.7007164290679418
13,159,"Jasper County, Georgia",304,14396,0.021116976938038344,0.3559030222753403,0.6440969777246597
13,161,"Jeff Davis County, Georgia",589,14687,0.040103492884864166,0.6758995079362267,0.32410049206377334
13,163,"Jefferson County, Georgia",406,15303,0.02653074560543684,0.44714603666514785,0.5528539633348521
13,165,"Jenkins County, Georgia",80,8125,0.009846153846153846,0.16594590797330525,0.8340540920266948
13,167,"Johnson County, Georgia",132,8451,0.01561945331913383,0.2632484118763606,0.7367515881236394
13,169,"Jones County, Georgia",87,28002,0.0031069209342189843,0.05236367656713366,0.9476363234328663
13,171,"Lamar County, Georgia",254,18256,0.013913234005258545,0.2344919941251566,0.7655080058748434
13,173,"Lanier County, Georgia",286,9188,0.031127557683935568,0.5246201616959186,0.47537983830408137
13,175,"Laurens County, Georgia",835,48519,0.017209752880314927,0.29005113187781917,0.7099488681221808
13,177,"Lee County, Georgia",282,31369,0.008989766967388187,0.1515124651900904,0.8484875348099096
13,179,"Liberty County, Georgia",1124,57998,0.01937997861995241,0.3266278588412984,0.6733721411587016
13,181,"Lincoln County, Georgia",71,7623,0.009313918404827495,0.1569756750329602,0.8430243249670398
13,183,"Long County, Georgia",298,15599,0.01910378870440413,0.321972986794318,0.678027013205682
13,185,"Lowndes County, Georgia",2352,111816,0.02103455677183945,0.3545139225792667,0.6454860774207333
13,187,"Lumpkin County, Georgia",384,32867,0.011683451486293243,0.19691150427355414,0.8030884957264459
13,189,"McDuffie County, Georgia",433,21511,0.020129236204732462,0.3392557572222261,0.6607442427777739
13,191,"McIntosh County, Georgia",165,11175,0.01476510067114094,0.24884925377708314,0.7511507462229169
13,193,"Macon County, Georgia",167,10305,0.016205725376031054,0.27312937152023115,0.7268706284797688
13,195,"Madison County, Georgia",362,29696,0.012190193965517241,0.20545208185718783,0.7945479181428121
13,197,"Marion County, Georgia",83,7484,0.011090326028861572,0.18691503823072175,0.8130849617692782
13,199,"Meriwether County, Georgia",527,20550,0.02564476885644769,0.4322138897221389,0.5677861102778611
13,201,"Miller County, Georgia",120,5846,0.020526855969893943,0.3459571935382582,0.6540428064617418
13,205,"Mitchell County, Georgia",495,19750,0.025063291139240506,0.42241373331021326,0.5775862666897867
13,207,"Monroe County, Georgia",276,26716,0.010330887857463692,0.17411555745159127,0.8258844425484088
13,209,"Montgomery County, Georgia",182,8236,0.022098105876639147,0.37243885292545703,0.627561147074543
13,211,"Morgan County, Georgia",454,19536,0.02323914823914824,0.39166984543696876,0.6083301545630313
13,213,"Murray County, Georgia",658,39602,0.016615322458461694,0.280032672119553,0.719967327880447
13,215,"Muscogee County, Georgia",2203,194929,0.011301550821068184,0.19047499580165603,0.809525004198344
13,217,"Newton County, Georgia",2759,110418,0.024986868083102392,0.4211257081951184,0.5788742918048816
13,219,"Oconee County, Georgia",466,40823,0.011415133625652206,0.1923893069053986,0.8076106930946014
13,221,"Oglethorpe County, Georgia",133,14639,0.009085320035521552,0.15312290525621028,0.8468770947437897
13,223,"Paulding County, Georgia",2684,164649,0.01630134407132749,0.27474091765876607,0.7252590823412339
13,225,"Peach County, Georgia",364,27688,0.013146489453915054,0.22156937248584688,0.7784306275141532
13,227,"Pickens County, Georgia",375,32571,0.011513309385649812,0.19404394950882856,0.8059560504911715
13,229,"Pierce County, Georgia",344,19475,0.01766367137355584,0.29770142027303476,0.7022985797269652
13,231,"Pike County, Georgia",399,18542,0.02151871427030525,0.36267385557852366,0.6373261444214764
13,233,"Polk County, Georgia",1295,42515,0.030459837704339646,0.5133664884325007,0.48663351156749934
13,235,"Pulaski County, Georgia",18,8571,0.0021001050052502626,0.035394920430953054,0.964605079569047
13,237,"Putnam County, Georgia",291,21583,0.013482833711717556,0.2272380786755685,0.7727619213244314
13,239,"Quitman County, Georgia",48,2249,0.0213428190306803,0.3597093380924246,0.6402906619075754
13,241,"Rabun County, Georgia",245,16516,0.01483410026640833,0.25001216476398697,0.749987835236013
13,243,"Randolph County, Georgia",34,6412,0.005302557704304429,0.08936867802094817,0.9106313219790518
13,245,"Richmond County, Georgia",3080,194409,0.01584288793214306,0.2670141523175344,0.7329858476824656
13,247,"Rockdale County, Georgia",2878,92257,0.031195464842776157,0.5257646608889808,0.4742353391110192
13,249,"Schley County, Georgia",63,4622,0.013630463003028993,0.22972620522456627,0.7702737947754337
13,251,"Screven County, Georgia",178,13674,0.013017405294719906,0.21939380339183184,0.7806061966081681
13,253,"Seminole County, Georgia",108,9008,0.011989342806394316,0.20206696026667315,0.7979330397333269
13,255,"Spalding County, Georgia",1231,65697,0.018737537482685664,0.3158002321853552,0.6841997678146448
13,257,"Stephens County, Georgia",378,26641,0.014188656581960137,0.23913393353431445,0.7608660664656856
13,259,"Stewart County, Georgia",11,3358,0.003275759380583681,0.0552092596974172,0.9447907403025828
13,261,"Sumter County, Georgia",292,28904,0.010102407971215057,0.17026478457422273,0.8297352154257773
13,263,"Talbot County, Georgia",291,5821,0.049991410410582374,0.8425492960066646,0.15745070399333538
13,265,"Taliaferro County, Georgia",10,1573,0.006357279084551812,0.10714482694557415,0.8928551730544259
13,267,"Tattnall County, Georgia",265,19063,0.013901274720663064,0.23429043376240807,0.7657095662375919
13,269,"Taylor County, Georgia",0,7727,0.0,0.0,1.0
13,271,"Telfair County, Georgia",70,10054,0.00696240302367217,0.1173435139743104,0.8826564860256896
13,273,"Terrell County, Georgia",115,8750,0.013142857142857144,0.22150815394651013,0.7784918460534899
13,275,"Thomas County, Georgia",1197,45195,0.026485230667109193,0.4463789332981737,0.5536210667018263
13,277,"Tift County, Georgia",1315,40606,0.03238437669309954,0.545802440064979,0.454197559935021
13,279,"Toombs County, Georgia",798,26726,0.029858564693556838,0.5032327044927776,0.49676729550722243
13,281,"Towns County, Georgia",125,12147,0.010290606734173046,0.17343666418188453,0.8265633358181155
13,283,"Treutlen County, Georgia",237,6068,0.03905735003295979,0.6582679405098383,0.3417320594901617
13,285,"Troup County, Georgia",954,68138,0.014000997974698406,0.23597115764662932,0.7640288423533707
13,287,"Turner County, Georgia",114,8643,0.013189864630336688,0.22230041255969277,0.7776995874403072
13,289,"Twiggs County, Georgia",64,7978,0.008022060666833792,0.13520285808805263,0.8647971419119473
13,291,"Union County, Georgia",457,23644,0.019328370834038235,0.3257580673444526,0.6742419326555473
13,293,"Upson County, Georgia",527,26971,0.019539505394683177,0.32931650416335895,0.670683495836641
13,295,"Walker County, Georgia",1660,66304,0.02503619691119691,0.42195709040743284,0.5780429095925672
13,297,"Walton County, Georgia",2023,94567,0.02139224042213457,0.36054228035661506,0.6394577196433849
13,299,"Ware County, Georgia",587,33818,0.01735762020225915,0.29254327016684256,0.7074567298331574
13,301,"Warren County, Georgia",0,5159,0.0,0.0,1.0
13,303,"Washington County, Georgia",188,18194,0.010333076838518192,0.17415245027840479,0.8258475497215952
13,305,"Wayne County, Georgia",581,28165,0.02062843955263625,0.3476692711816457,0.6523307288183543
13,307,"Webster County, Georgia",72,2368,0.030405405405405407,0.512449092928545,0.487550907071455
13,309,"Wheeler County, Georgia",52,7390,0.0070365358592692825,0.11859293998430558,0.8814070600156945
13,311,"White County, Georgia",420,27716,0.015153701832876317,0.25539869162167345,0.7446013083783265
13,313,"Whitfield County, Georgia",2540,102259,0.024838889486499965,0.4186316944962163,0.5813683055037837
13,315,"Wilcox County, Georgia",161,6931,0.02322897128841437,0.3914983243175226,0.6085016756824775
13,317,"Wilkes County, Georgia",375,9565,0.03920543648719289,0.6607637720284428,0.33923622797155717
13,319,"Wilkinson County, Georgia",104,8857,0.011742124872981822,0.19790037856701326,0.8020996214329867
13,321,"Worth County, Georgia",291,20676,0.014074289030760303,0.23720639640427524,0.7627936035957248
